id_poste_livraison,id_parc,nom_usuel,code_insee,nom_commune,code_dept,code_reg,x_poste_livraison,y_poste_livraison,epsg,etat_parc,statut_parc,date_maj
0003800428_PL2,0003800428,SAS ELICIO HAUT PLATEAU,80080,BELLOY-EN-SANTERRE,80,32,691299.06,6.9755165e+06,2154,En exploitation,Autorisé,2023-03-01 00:00:00
0100284216_PL2,0100284216,CENTRALE EOLIENNE PLAINE SUD DE CAEN,14160,CINTHEAUX,14,28,457920.88,6.8920525e+06,2154,,En instruction,2025-03-31 00:00:00
0010011576_PL1,0010011576,Parc Eolien du Chemin d'Ablis,28184,GOUILLONS,28,24,609032,6.793559e+06,2154,,En instruction,2022-12-30 00:00:00
0005704164_PL2,0005704164,EOLE COTE DU MOULIN,08024,ASFELD,08,44,777713.7,6.933458e+06,2154,En exploitation,Autorisé,2024-12-16 00:00:00
0003703502_PL1,0003703502,CE PUECH PEYRON SARL,30183,MOULEZAN,30,76,790834,6.313629e+06,2154,,En instruction,2022-10-26 00:00:00
0003012538_PL5,0003012538,Parc éolien de Maison Dieu,51167,COOLE,51,44,812271.3,6.8513195e+06,2154,En exploitation,Autorisé,2025-01-13 00:00:00
0007005687_PL1,0007005687,EOLE SOURCE DE LA SENSEE,62306,ERVILLERS,62,32,688726.6,7.008016e+06,2154,En exploitation,Autorisé,2022-10-21 00:00:00
0003103168_PL1,0003103168,Ferme eolienne de Saint-Maurice,79280,SAINT MAURICE ETUSSON,79,75,432895,6.668799e+06,2154,En exploitation,Autorisé,2024-07-03 00:00:00
0006307485_PL1,0006307485,PARC EOLIEN DES CRETES,49109,CORON,49,52,423025.88,6.678241e+06,2154,,En instruction,2022-10-19 00:00:00
0005517943_PL1,0005517943,Parc éolien Saint-Caradec SARL,22279,ST CARADEC,22,53,263896,6.803619e+06,2154,En exploitation,Autorisé,2023-04-24 00:00:00
0006112688_PL1,0006112688,Parc éolien Les Terres Blanches,26143,LE GRAND-SERRE,26,84,861819.6,6.466996e+06,2154,En exploitation,Autorisé,2025-04-24 00:00:00
0007211967_PL1,0007211967,CENTRALE EOLIENNE ANTEZANT ST PARDOULT,17381,SAINT-PARDOULT,17,75,431812,6.550742e+06,2154,En exploitation,Autorisé,2023-03-31 00:00:00
0003014607_PL5,0003014607,Parc éolien de Nuisement et Cheniers,51409,NUISEMENT-SUR-COOLE,51,44,792530,6.864603e+06,2154,En attente de construction,Autorisé,2025-02-18 00:00:00
0003104741_PL1,0003104741,CPENR de Bena,86068,CHAUNAY,86,75,479395.06,6.5734385e+06,2154,En exploitation,Autorisé,2024-04-25 00:00:00
0010012926_PL1,0010012926,BEAUCE ENERGIE - EPINETTES,28313,RECLAINVILLE,28,24,600642,6.803473e+06,2154,En exploitation,Autorisé,2023-11-29 00:00:00
0100008487_PL2,0100008487,Ferme eolienne Haussu,60112,BRUNVILLERS-LA-MOTTE,60,32,661490,6.939863e+06,2154,,En instruction,2025-02-14 00:00:00
0003800198_PL1,0003800198,LA PLAINE BUISSON,62026,AMBRICOURT,62,32,640571,7.041456e+06,2154,En exploitation,Autorisé,2025-01-20 00:00:00
0003012132_PL1,0003012132,EOLE DE LA GRANDE COMBE,52003,AILLIANVILLE,52,44,883567.25,6.8056995e+06,2154,En exploitation,Autorisé,2022-11-25 00:00:00
