code_insee,invest_sd
02606,617013.24
02607,1017092.86
02608,3941167.2800000003
02609,395000.41000000003
02610,3666119.84
02612,210413.33000000002
02613,2410347.19
02614,1830251.9699999997
02615,1290166.0099999998
02616,896545.36
02617,4307773.85
02618,3520929.7800000003
02619,2150502.32
02620,1390857.26
02621,1723774.38
02622,638221.66
02623,550941.86
02624,832735.04
02625,865710.21
02626,1479086.29
02627,674436.35
02628,1170287.33
02629,935044.9500000001
02631,2408151.2199999997
02632,229949.76
02633,265658.83999999997
02634,397174.86000000004
02635,414785.48
02636,782029.84
02637,1319717.31
02638,2090049.33
02639,1612680.31
02640,558197.09
02641,706549.13
02642,1174686.75
02643,3594522.72
02644,2852577.72
02645,758571.92
02646,178786.4
02647,483613.74000000005
02648,12572293.6
02649,1125395.82
02650,1349442.07
02651,365386.23
02652,746970.4199999999
02653,2508960.35
02654,501273.36
02655,1353861.07
02656,1139849.54
02657,1075493.59
02658,1079216.1600000001
02659,6070190.81
02660,190148.8
02661,670915.27
02662,1774350.32
02663,799062.94
02664,1445542.2000000002
02665,1431568.8699999999
02666,8168053.45
02667,1247052.92
02668,5701338.2
02669,597551.41
02670,700993.8200000001
02671,1519067.82
02672,689640.95
02673,1705912.4
02674,578681.14
02675,437398.12
02676,8715025.37
02677,982367.45
02678,557064.85
02679,388640.59
02680,12211485.35
02681,1374878.4999999998
02682,408723.37
02683,574859.46
02684,27558179.9
02685,338283.37
02686,2093645.08
02687,990654.33
02688,903615.51
02689,371137.87
02690,714931.43
02691,452441085.91
02693,1112684.5
02694,3386001.7
02695,324125.3
02696,544582.84
02697,4210138.76
02698,594320.96
02699,947712.02
02701,4094357.6
02702,4507766.6899999995
02703,10056752.49
02704,1206034.12
02705,1504678.59
02706,3884275.38
02707,963071.45
02708,1091381.56
02709,1901627.96
02710,3324539.39
02711,1015269.5700000001
02712,454942.59
02713,919127.3200000001
02714,1489176.0699999998
02715,646900.72
02716,2437835.83
02717,1612972.04
02718,1126800.24
02719,7314001.16
02720,19512792.13
02721,1659473.83
02722,176227401.31
02723,563206.78
02724,449607.35
02725,776112.64
02726,712631.37
02727,1602866.37
02728,1435971.83
02729,1094269.09
02730,1105768.41
02731,635806.12
02732,513568.98000000004
02733,801276.3200000001
02734,1244834.57
02735,288215.01
02736,1014109.29
02737,2864270.37
02738,131322706.18
02739,1524446.83
02740,1188972.7
02741,4353736.06
02742,843882.34
02743,483874.64
02744,584292.88
02745,620377.36
02746,2728125.4499999997
02747,408540.36
02748,7569850.95
02749,359129.59
02750,2308385.45
02751,764379.42
02752,1131226.1400000001
02753,4970182.12
02754,1380839.71
02755,4147103.09
02756,2860544.5300000003
02757,2560779.21
02758,16205994.190000001
02759,1227433.7
02760,764925.83
02761,712339.87
02762,789333.5800000001
02763,1003188.63
02764,642942.0
02765,1196149.21
02766,912353.41
02767,1676598.69
02768,3014761.25
02769,9263365.81
02770,2551279.7399999998
02771,459238.75
02772,304798.78
02773,131604.27
02774,845489.5700000001
02775,3721857.15
02776,2091179.32
02777,1124712.8699999999
02778,723053.96
02779,2485283.75
02780,6919783.21
02781,1121984.11
02782,800528.4
02783,783627.2
02784,885962.2699999999
02785,8217141.16
02786,472023.29
02787,1607684.02
02788,1780034.61
02789,40437465.72
02790,1447349.54
02791,1490536.76
02792,923841.02
02793,506982.28
02794,763319.73
02795,7900633.04
02796,391778.87
02797,638334.03
02798,4465608.37
02799,2199095.3
02800,882289.29
02801,1427843.07
02802,632732.58
02803,1162584.59
02804,631506.6000000001
02805,23291222.53
02806,1191851.65
02807,2431085.34
02808,1201103.72
02809,662529.24
02810,61402634.1
02811,758714.77
02812,659956.06
02813,1088051.4000000001
02814,1228396.34
02815,1973798.95
02816,1641825.23
02817,194595.75
02818,5055453.58
02819,695459.37
02820,10550619.79
02821,4393701.23
02822,1294434.96
02823,303743.41000000003
02824,1620735.82
02826,2380207.96
02827,2309740.62
02828,943682.11
02829,417792.25
02830,5197925.8
02831,2726077.37
02832,1302840.42
02833,1896991.44
02834,739376.77
03001,19646939.43
03002,1812645.07
03003,10708710.799999999
03004,2102357.5
03005,3887423.12
03006,8188059.03
03007,2822203.81
03008,3667616.53
03009,1621928.27
03010,1909645.5699999998
03011,1916305.56
03012,1460404.33
03013,28871206.9
03014,2164074.21
