code_insee,annee,type_scrutin,n_unites,mono_liste,closeness,method
51538,2020,individuel,7,1,,seat_cutoff_rne_real
51539,2008,individuel,9,0,16.6667,winner_share_proxy_2008
51539,2014,individuel,7,1,,seat_cutoff_model
51539,2020,individuel,7,1,,seat_cutoff_rne_real
51542,2008,individuel,11,0,9.0,winner_share_proxy_2008
51542,2014,individuel,12,0,1.0417,seat_cutoff_model
51542,2020,individuel,11,0,2.9851,seat_cutoff_rne_real
51543,2008,individuel,2,0,25.0,winner_share_proxy_2008
51543,2014,individuel,7,1,,seat_cutoff_model
51543,2020,individuel,5,1,,seat_cutoff_rne_real
51544,2008,individuel,15,0,7.9365,winner_share_proxy_2008
51544,2014,individuel,18,0,5.2632,seat_cutoff_model
51544,2020,individuel,15,1,,seat_cutoff_rne_real
51545,2008,individuel,2,0,52.3404,winner_share_proxy_2008
51545,2014,individuel,22,0,3.0303,seat_cutoff_model
51545,2020,individuel,6,1,,seat_cutoff_rne_real
51546,2008,individuel,9,0,42.6087,winner_share_proxy_2008
51546,2014,individuel,13,0,57.6531,seat_cutoff_model
51546,2020,individuel,11,1,,seat_cutoff_rne_real
51547,2008,individuel,11,0,6.0,winner_share_proxy_2008
51547,2014,individuel,3,1,,seat_cutoff_model
51548,2008,individuel,11,0,4.1379,winner_share_proxy_2008
51548,2014,individuel,15,0,3.0488,seat_cutoff_model
51548,2020,individuel,12,0,9.7561,seat_cutoff_rne_real
51549,2008,individuel,2,0,44.0,winner_share_proxy_2008
51549,2014,individuel,11,1,,seat_cutoff_model
51549,2020,individuel,11,1,,seat_cutoff_rne_real
51550,2008,individuel,4,0,41.0596,winner_share_proxy_2008
51550,2014,individuel,13,0,5.1282,seat_cutoff_model
51550,2020,individuel,12,0,14.2857,seat_cutoff_rne_real
51551,2008,individuel,2,0,27.1028,winner_share_proxy_2008
51551,2014,individuel,1,1,,seat_cutoff_model
51551,2020,individuel,13,0,9.5238,seat_cutoff_rne_real
51552,2008,individuel,11,0,18.4524,winner_share_proxy_2008
51552,2014,individuel,11,1,,seat_cutoff_model
51552,2020,individuel,11,1,,seat_cutoff_rne_real
51553,2008,individuel,11,0,13.2075,winner_share_proxy_2008
51553,2014,individuel,12,0,4.7619,seat_cutoff_model
51553,2020,individuel,4,1,,seat_cutoff_rne_real
51555,2008,individuel,1,1,,winner_share_proxy_2008
51555,2014,individuel,10,1,,seat_cutoff_model
51555,2020,individuel,13,0,1.2195,seat_cutoff_rne_real
51556,2008,individuel,11,0,5.1429,winner_share_proxy_2008
51556,2014,individuel,11,1,,seat_cutoff_model
51556,2020,individuel,13,0,20.6107,seat_cutoff_rne_real
51557,2008,individuel,1,1,,winner_share_proxy_2008
51557,2014,individuel,21,0,21.4545,seat_cutoff_model
51557,2020,individuel,17,0,1.6393,seat_cutoff_rne_real
51558,2008,individuel,11,0,22.3404,winner_share_proxy_2008
51558,2014,individuel,15,0,7.3684,seat_cutoff_model
51558,2020,individuel,11,1,,seat_cutoff_rne_real
51559,2008,individuel,5,0,40.9225,winner_share_proxy_2008
51560,2008,individuel,2,0,50.6173,winner_share_proxy_2008
51560,2014,individuel,10,1,,seat_cutoff_model
51560,2020,individuel,16,0,14.6341,seat_cutoff_rne_real
51562,2008,individuel,8,0,48.4799,winner_share_proxy_2008
51563,2008,individuel,9,0,15.5556,winner_share_proxy_2008
51563,2014,individuel,1,1,,seat_cutoff_model
51563,2020,individuel,11,1,,seat_cutoff_rne_real
51564,2008,individuel,3,0,47.0199,winner_share_proxy_2008
51564,2014,individuel,13,1,,seat_cutoff_model
51564,2020,individuel,22,0,6.6406,seat_cutoff_rne_real
51565,2008,individuel,2,0,35.4839,winner_share_proxy_2008
51565,2014,individuel,11,0,1.4085,seat_cutoff_model
51565,2020,individuel,7,1,,seat_cutoff_rne_real
51566,2008,individuel,11,0,10.0,winner_share_proxy_2008
51566,2014,individuel,11,1,,seat_cutoff_model
51566,2020,individuel,14,0,19.6078,seat_cutoff_rne_real
51567,2008,individuel,15,0,15.6863,winner_share_proxy_2008
51567,2014,individuel,15,1,,seat_cutoff_model
51567,2020,individuel,3,1,,seat_cutoff_rne_real
